	x		sin(x)	sin'(x)	delta_y	dub_y
      0.00	      0.00	      0.50	     -0.49	     -0.99	
      0.01	      0.01	      0.50	     -0.49	     -0.98	
      0.02	      0.02	      0.50	     -0.48	     -0.97	
      0.03	      0.03	      0.50	     -0.48	     -0.96	
      0.04	      0.04	      0.50	     -0.47	     -0.95	
      0.05	      0.05	      0.50	     -0.47	     -0.94	
      0.06	      0.06	      0.50	     -0.46	     -0.93	
      0.07	      0.07	      0.50	     -0.46	     -0.92	
      0.08	      0.08	      0.50	     -0.45	     -0.91	
      0.09	      0.09	      0.50	     -0.45	     -0.90	
      0.10	      0.10	      0.50	     -0.44	     -0.89	
      0.11	      0.11	      0.50	     -0.44	     -0.88	
      0.12	      0.12	      0.50	     -0.43	     -0.87	
      0.13	      0.13	      0.50	     -0.43	     -0.86	
      0.14	      0.14	      0.50	     -0.42	     -0.85	
      0.15	      0.15	      0.50	     -0.42	     -0.84	
      0.16	      0.16	      0.50	     -0.41	     -0.83	
      0.17	      0.17	      0.50	     -0.41	     -0.82	
      0.18	      0.18	      0.50	     -0.40	     -0.81	
      0.19	      0.19	      0.50	     -0.40	     -0.80	
      0.20	      0.20	      0.50	     -0.39	     -0.79	
      0.21	      0.21	      0.50	     -0.39	     -0.78	
      0.22	      0.22	      0.50	     -0.38	     -0.77	
      0.23	      0.23	      0.50	     -0.38	     -0.76	
      0.24	      0.24	      0.50	     -0.37	     -0.75	
      0.25	      0.25	      0.50	     -0.37	     -0.74	
      0.26	      0.26	      0.50	     -0.36	     -0.73	
      0.27	      0.27	      0.50	     -0.36	     -0.72	
      0.28	      0.28	      0.49	     -0.35	     -0.71	
      0.29	      0.29	      0.49	     -0.35	     -0.70	
      0.30	      0.30	      0.49	     -0.34	     -0.69	
      0.31	      0.31	      0.49	     -0.33	     -0.68	
      0.32	      0.31	      0.49	     -0.33	     -0.67	
      0.33	      0.32	      0.49	     -0.32	     -0.66	
      0.34	      0.33	      0.49	     -0.32	     -0.65	
      0.35	      0.34	      0.49	     -0.31	     -0.64	
      0.36	      0.35	      0.49	     -0.31	     -0.63	
      0.37	      0.36	      0.49	     -0.30	     -0.62	
      0.38	      0.37	      0.49	     -0.30	     -0.61	
